Text,Lemmatized Text,Clusters(K Means),Clusters(DBSCAN)
ilişki yönetiminde başarılı etkin iletişim kurabilen ekip çalışmasına yatkın,ilişki yönetim başarı etkin iletişim kur ekip çalış yatkın,2,0
MS office programlarını kullanabilen,ms office program kullan,3,0
ihracat firmalarında dokuma örme deneyimli,ihracat firma dokuma ör deneyim,1,1
gerber V-8 kullanabilen tecrübeli,gerber V-8 kullan tecrübe,3,-1
pastal çizebilen seri yapabilen,pastal çiz seri yap,1,0
üniversitelerin bölümlerinden mezun,üniversite bölüm mezun,1,1
otomotiv sektöründe 2 yıl iş deneyimine sahip,otomotiv sektör 2 yıl iş deneyim sahip,5,0
2 el satış tecrübesi olan,2. el satış tecrübe olan,4,0
piyasa analizi yapabilecek,piyasa analiz yap,1,0
ekip çalışmasını ekip başarısını önemseyen,ekip çalış ekip başarı önemse,2,0
askerlik hizmetini tamamlamış,asker hizmet tamamla,1,1
tekstil sektöründe 1 yıl deneyimli,tekstil sektör 1 yıl deneyim,1,0
iletişim becerileri gelişmiş,iletişim beceri geliş,1,1
erkek adayların askerlik görevini tamamlamış,erkek aday asker görev tamamla,1,1
P&ID elektrik projelerini okuyabilen,p & ıd elektrik proje oku,1,1
şantiye şartlarına uyum sağlayabilecek,şantiye şart uyum sağla,1,1
ekip çalışmasına uygun,ekip çalış uygun,2,0
seyahat engeli olmayan,seyahat engel olmayan,1,1
yurtiçi yurtdışı şantiyelerimizde çalışabilecek,yurtiçi yurtdışı şantiye çalış,2,0
ingilizce bilgisi olan,ingilizce bilgi olan,4,0
işi gerekli basit iletişimi kurabilecek,iş gerekli basit iletişim kur,1,1
erkek adayların askerliğini tamamlamış,erkek aday asker tamamla,1,1
iletişim yeteneği güçlü,iletişim yetenek güçlü,1,1
analitik düşünme yeteneğine güvenen,analitik düşün yetenek güven,1,1
yazılım teknolojileri arasının iyi düşünen,yazılı teknoloji ara iyi düşün,1,1
ingilizce okuma becerisi gelişmiş,ingilizce ok beceri geliş,1,1
tercihen 2 yıl tecrübeli uzun dönemli stajlar kabul edilebilir,tercihen 2 yıl tecrübe uzun dönem staj kabul et,0,-1
tercihen finansmuhasebe alanında çalışmış,tercihen finans muhasebe alan çalış,2,0
proje ilerleme raporlarının oluşturulması,proje ilerle rapor oluş,1,1
PKF istanbul yönetim danışmanlığı bölümünde yürütülen projelerdeistanbul bölgede görevlendirmek yeni ekip arkadaşı arıyoruz,PKF istanbul yönet danışman bölüm yürüt proje istanbul bölge görevlen yeni ekip arkadaş ara,1,1
üniversitelerin inşaat mühendisliği bölümlerinden mezun,üniversite inşaat mühendis bölüm mezun,1,1
statik hesaplama alanında deneyimli,statik hesapla alan deneyim,1,1
sap2000 programını iyi derecede bilen,sap2000 program iyi derece bil,1,1
iyi derecede autocad bilen,iyi derece autocad bil,1,1
çizim tecrübesi olan,çizi tecrübe olan,4,0
3 boyutlu çizim programı kullanabilen solidworks,3 boyut çizi program kullan solidworks,3,0
iyi derecede ingilizce almanca bilen,iyi derece ingilizce almanca bil,1,1
yurt dışı tecrübesi olan,yurt dış tecrübe olan,4,0
otomotiv sektöründe kariyer hedefi olan,otomotiv sektör kariyer hedef olan,4,0
yoğun tempolu çalışma ortamına uyum sağlayabilecek,yoğun tempo çalış ortam uyum sağla,2,0
etkin yöneticilik özelliklerine sahip,etkin yönet özellik sahip,5,0
ekip yönetmiş,ekip yönet,1,1
MS office uygulamalarına hakim,ms office uygula hakim,1,1
istanbul  ikâmet,istanbul ' ikamet,1,1
grup otomotiv şirketimiz bünyesinde  istanbul  kartal dayeni açılacak olan lokasyonumuzun aykan kartal dod şubesinde görevlendirilmek aşağıdaki niteliklere sahip,grup otomotiv şirket bünye istanbul kartal ' daye aç olan lokasyon aykan kartal dod şube görevlen aşağı nitelik sahip,5,0
mağazacılık sektöründe 3 yıl yönetici deneyimli,mağazacılık sektör 3 yıl yönet deneyim,1,0
görsel vitrin tasarımı yapabilecek,görsel vitir tasar yap,1,0
erkek adaylar askerlik görevini tamamlamış yada muaf,erkek aday asker görev tamamla yad muaf,1,1
microsoft office programlarına hakim,microsoft office program hakim,1,1
kuru temizleme makineleri,kuru temizle makine,1,1
üniversitelerin makine mühendisliği bölümlerinden mezun,üniversite maki mühendis bölüm mezun,1,1
randevu alma konusunda ısrarlı girişken,randevu al konu ısrar girişken,1,0
aktif araç kullanabilen,aktif araç kullan,3,0
temsil kabiliyeti güçlü,temsil kabiliyet güçlü,1,1
uzun süreli çalışmaya istekli,uzun sür çalış istek,2,0
istasyon makine AŞ 2013 yılında kurulmuş aşağıdaki dallarda faaliyet gösteren profesyonel hizmet veren şirkettir,istasyon maki aş 2013 yıl kur aşağı dal faaliyet göster profesyonel hizmet ver şirket,1,0
kaba ince işler imalatlarını takip,kaba ince işle imalat takip,1,1
esnek çalışma saatlerine uyumlu,esnek çalış saat uyum,2,0
ekip çalışmasına uyum sağlayabilen,ekip çalış uyum sağla,2,0
sektöründe öncü firmamıza ar-ge birimi nde çalışmak aşağıda belirtilen süreçlerden sorumlu olacak takım arkadaşı aramaktayız,sektör öncü firma ar-ge birim ' n çalış aşağı belirt süreç sorumlu ol tak arkadaş ara,2,0
kariyerini mağazacılık alanında geliştirmeyi hedefleyen,kariyer mağazacılık alan geliştir hedefle,1,1
yüksek tempoda çalışmaya uyum sağlayabilecek,yüksek tempo çalış uyum sağla,2,0
kişisel bakımına dış görünümüne özen gösteren,kişisel bakım dış görünüm özen göster,1,1
tekstil ürünleri pazarlaması konusunda tecrübeli,tekstil ürün pazarla konu tecrübe,1,0
veri yönetimi raporlama konularına hakim,veri yönet raporla konu hakim,1,0
iletişim becerileri yüksek,iletişim beceri yüksek,1,1
koordinasyon çalışmaları güçlü,koordinasyon çalış güçlü,2,0
yaygın bilgisayar programlarına hakim,yaygın bilgisayar program hakim,1,1
keşif metraj hakediş konularında minimum 5 yıl deneyimi olan,keşif metraj haket konu minimum 5 yıl deney olan,4,0
40 yaşını aşmamış,40 yaş aş,1,1
esnek mesai saatlerine yoğun çalışma temposuna uyum sağlayabilen,esnek mesai saat yoğun çalış tempo uyum sağla,2,0
benzer görevde çalışmış,benzer görev çalış,2,0
MS office word excel uygulamalarına iyi derecede hakim,ms office word excel uygula iyi derece hakim,1,1
takım çalışmasına yatkın,tak çalış yatkın,2,0
yoğun iş temposuna ayak uydurabilecek,yoğun iş tempo ay uydur,1,1
MS office uygulamalarına orta düzeyde hakim,ms office uygula orta düzey hakim,1,1
analitik düşünebilen planlı organize çalışma becerisine sahip,analitik düşün plan organize çalış beceri sahip,5,0
takım çalışmasına uyum sağlayabilecek,tak çalış uyum sağla,2,0
iyi derecede ingilizce bilen,iyi derece ingilizce bil,1,1
ekip çalışmasına yatkın,ekip çalış yatkın,2,0
planlama organizasyon becerileri gelişmiş,planla organizasyon beceri geliş,1,1
msoffice programlarını iyi derecede kullanabilen,ms office program iyi derece kullan,3,0
üniversitelerin gıda mühendisliği bölümünden mezun,üniversite gıda mühendis bölüm mezun,1,1
alanında 2-5 yıl deneyimli,alan 2-5 yıl deneyim,1,0
tercihen hastane tecrübesi olan,tercihen hastane tecrübe olan,4,0
gıda sektöründe yasal mevzuatlara,gıda sektör yasal mevzuatlara,1,1
HACCP hijyen uygulamalarına hakim olan,haccp hijyen uygula hakim olan,4,0
denetim raporlama konusunda yetkin tecrübeli olan,denet raporla konu yetkin tecrübe olan,4,0
seyahat engeli bulunmayan,seyahat engel bulun,1,1
erkek adaylar askerliğini tamamlamış olan,erkek aday asker tamamla olan,4,0
istanbulda faaliyet gösteren hastane projemizde görevlendirilmek,istanbul faaliyet göster hastane proje görevlen,1,1
lisans mezunu tercihen inşaat bölümler,lisans mezun tercihen inşaat bölümle,1,1
alt yüklenici tedarikçi yazışmaları yürütecek,alt yükle tedarik yazış yürüt,1,1
sözleşme şartlarının uygulanmasının takibini raporlamasını,sözleş şart uygula takip raporla,1,1
ikna müzakere yeteneğine sahip ERP tercihen dynamics 365 kullanmış,ikna müzakere yetenek sahip ERP tercihen dynamics 365 kullan,3,2
MS office programlarına hakim,ms office program hakim,1,1
askerlikle ilişiği bulunmayan,asker ilişik bulun,1,1
tercihen 2 yıl tecrübeli,tercihen 2 yıl tecrübe,1,0
yedek parça boya mekanik konularına hâkim,yedek parça boya mekanik konu hakim,1,0
esnek çalışma saatlerine uyum sağlayabilecek,esnek çalış saat uyum sağla,2,0
iyi derecede almanca yazan konuşan,iyi derece almanca yaz konuş,1,1
sağlık sektöründe 2 yıl tecrübeli,sağlık sektör 2 yıl tecrübe,1,0
estetik cerrahi konusuna operasyonlara hakim,estetik cerrahi konu operasyon hakim,1,0
güler yüzlü diksiyonu düzgün pozitif,gül yüz diksiyon düzgün pozitif,1,1
benzer pozisyonda 3 yıl deneyimli,benzer pozisyon 3 yıl deneyim,1,0
network dizaynı yapıp uygulayabilecek,network dizayn yap uygula,1,0
analiz edebilecek sistemi iyileştirebilecek,analiz et sistem iyi,0,0
cisco juniper HP benzeri network üreticilerinin ürünlerine hakim,cisco juniper hp benzeri network üret ürün hakim,1,1
müşteri odaklı iletişim becerisi yüksek,müşteri odak iletişim beceri yüksek,1,1
analitik düşünebilen organizasyon planlama yeteneğine sahip,analitik düşün organizasyon planla yetenek sahip,5,0
askerlikle ilişkisi olmayan,asker ilişki olmayan,1,1
